A  ; ICO ;  Icosian game with ɩ symmetry ; Blue  ;
B  ; B   ;  Bruxelles     ; 1 , 4 ; C, G, Z
B  ; C   ;  Canton        ; 1 , 6 ; B, D, P
B  ; D   ;  Delhi         ; 1 , 8 ; C, F, M
B  ; F   ;  Francfort     ; 1 , 0 ; D, G, K
B  ; G   ;  Genève        ; 1 , 2 ; B, F, H
B  ; H   ;  Hambourg      ; 2 , 2 ; G, J, X
B  ; J   ;  Jeddo         ; 3 , 1 ; H, K, V
B  ; K   ;  Kaschmir      ; 2 , 0 ; F, J, L
B  ; L   ;  London        ; 3 , 9 ; K, M, T
B  ; M   ;  Moscou        ; 2 , 8 ; D, L, N
B  ; N   ;  Naples        ; 3 , 7 ; M, P, S
B  ; P   ;  Paris         ; 2 , 6 ; C, N, Q
B  ; Q   ;  Québec        ; 3 , 5 ; P, R, Z
B  ; R   ;  Rome          ; 4 , 5 ; Q, S, W
B  ; S   ;  Stockholm     ; 4 , 7 ; N, R, T
B  ; T   ;  Tobolsk       ; 4 , 9 ; L, S, V
B  ; V   ;  Vienne        ; 4 , 1 ; J, T, W
B  ; W   ;  Washington    ; 4 , 3 ; R, V, X
B  ; X   ;  Xérès         ; 3 , 3 ; H, W, Z
B  ; Z   ;  Zanzibar      ; 2 , 4 ; B, Q, X
