A  ; ICO ;  Icosian game  ; Blue  ;
B  ; B   ;  Bruxelles     ; 1 , 6 ; C, G, Z
B  ; C   ;  Canton        ; 1 , 4 ; B, D, P
B  ; D   ;  Delhi         ; 1 , 2 ; C, F, M
B  ; F   ;  Francfort     ; 1 , 0 ; D, G, K
B  ; G   ;  Genève        ; 1 , 8 ; B, F, H
B  ; H   ;  Hambourg      ; 2 , 8 ; G, J, X
B  ; J   ;  Jeddo         ; 3 , 9 ; H, K, V
B  ; K   ;  Kaschmir      ; 2 , 0 ; F, J, L
B  ; L   ;  London        ; 3 , 1 ; K, M, T
B  ; M   ;  Moscou        ; 2 , 2 ; D, L, N
B  ; N   ;  Naples        ; 3 , 3 ; M, P, S
B  ; P   ;  Paris         ; 2 , 4 ; C, N, Q
B  ; Q   ;  Québec        ; 3 , 5 ; P, R, Z
B  ; R   ;  Rome          ; 4 , 5 ; Q, S, W
B  ; S   ;  Stockholm     ; 4 , 3 ; N, R, T
B  ; T   ;  Tobolsk       ; 4 , 1 ; L, S, V
B  ; V   ;  Vienne        ; 4 , 9 ; J, T, W
B  ; W   ;  Washington    ; 4 , 7 ; R, V, X
B  ; X   ;  Xérès         ; 3 , 7 ; H, W, Z
B  ; Z   ;  Zanzibar      ; 2 , 6 ; B, Q, X
