21:04:37 macro number 1 / 3982, complete paths 0, partial paths 1 (to-do list 1 / 1)
21:05:08 macro number 105 / 3982, complete paths 0, partial paths 1000 (to-do list 4 / 8)
21:05:37 macro number 106 / 3982, complete paths 0, partial paths 2000 (to-do list 20 / 37)
21:06:05 macro number 106 / 3982, complete paths 0, partial paths 3000 (to-do list 8 / 37)
21:06:33 macro number 107 / 3982, complete paths 0, partial paths 4000 (to-do list 26 / 37)
21:07:01 macro number 107 / 3982, complete paths 0, partial paths 5000 (to-do list 12 / 37)
21:07:29 macro number 108 / 3982, complete paths 0, partial paths 6000 (to-do list 17 / 39)
21:07:57 macro number 108 / 3982, complete paths 0, partial paths 7000 (to-do list 29 / 39)
21:08:28 macro number 108 / 3982, complete paths 0, partial paths 8000 (to-do list 7 / 39)
21:08:58 macro number 108 / 3982, complete paths 0, partial paths 9000 (to-do list 19 / 39)
21:09:33 macro number 117 / 3982, complete paths 0, partial paths 10000 (to-do list 5 / 39)
21:10:07 macro number 169 / 3982, complete paths 0, partial paths 11000 (to-do list 13 / 39)
21:10:40 macro number 172 / 3982, complete paths 0, partial paths 12000 (to-do list 34 / 39)
21:11:14 macro number 173 / 3982, complete paths 0, partial paths 13000 (to-do list 12 / 39)
21:11:48 macro number 179 / 3982, complete paths 0, partial paths 14000 (to-do list 3 / 39)
21:12:22 macro number 188 / 3982, complete paths 0, partial paths 15000 (to-do list 5 / 39)
21:12:56 macro number 201 / 3982, complete paths 0, partial paths 16000 (to-do list 6 / 39)
21:13:32 macro number 302 / 3982, complete paths 0, partial paths 17000 (to-do list 1 / 39)
21:14:07 macro number 362 / 3982, complete paths 0, partial paths 18000 (to-do list 7 / 39)
21:14:37 macro number 405 / 3982, complete paths 0, partial paths 19000 (to-do list 4 / 39)
21:15:06 macro number 440 / 3982, complete paths 0, partial paths 20000 (to-do list 6 / 39)
21:15:37 macro number 445 / 3982, complete paths 0, partial paths 21000 (to-do list 25 / 39)
21:16:09 macro number 445 / 3982, complete paths 0, partial paths 22000 (to-do list 3 / 39)
21:16:38 macro number 445 / 3982, complete paths 0, partial paths 23000 (to-do list 27 / 39)
21:17:08 macro number 445 / 3982, complete paths 0, partial paths 24000 (to-do list 4 / 39)
21:17:36 macro number 446 / 3982, complete paths 0, partial paths 25000 (to-do list 30 / 39)
21:18:11 macro number 446 / 3982, complete paths 0, partial paths 26000 (to-do list 7 / 39)
21:18:42 macro number 446 / 3982, complete paths 0, partial paths 27000 (to-do list 32 / 39)
21:19:11 macro number 446 / 3982, complete paths 0, partial paths 28000 (to-do list 9 / 39)
21:19:39 macro number 448 / 3982, complete paths 0, partial paths 29000 (to-do list 41 / 61)
21:20:08 macro number 453 / 3982, complete paths 0, partial paths 30000 (to-do list 3 / 61)
21:20:36 macro number 460 / 3982, complete paths 0, partial paths 31000 (to-do list 3 / 61)
21:21:06 macro number 470 / 3982, complete paths 0, partial paths 32000 (to-do list 17 / 61)
21:21:40 macro number 487 / 3982, complete paths 0, partial paths 33000 (to-do list 26 / 61)
21:22:12 macro number 487 / 3982, complete paths 0, partial paths 34000 (to-do list 27 / 61)
21:22:44 macro number 488 / 3982, complete paths 0, partial paths 35000 (to-do list 32 / 61)
21:23:15 macro number 488 / 3982, complete paths 0, partial paths 36000 (to-do list 33 / 61)
